,United States of America - Current US$,United States of America - Share of GDP,Australia - Current US$,Australia - Share of GDP,China - Current US$,China - Share of GDP,Japan - Current US$,Japan - Share of GDP,Taiwan - Current US$,Taiwan - Share of GDP,Russia - Current US$,Russia - Share of GDP
1992,325033.735954804,0.04970466807682841,6882.0915800683,0.02168746080126269,12244.267842214926,0.024495420675344277,35999.12357581069,0.009483124403317089,10071.090047393363,0.046930554712032516,0.0,0.04427032321253673
1993,316719.4437474234,0.046043502950764446,6733.8292895223585,0.021780298864631127,12360.225860644641,0.019280668740406248,41353.936221874494,0.009506638247552263,11653.465721756926,0.04955410970361324,7766.720078413419,0.041813246471226924
1994,308084.0,0.04215264675177903,7459.696581977701,0.02116598588934274,9867.120066274185,0.01693479598704831,45285.59408265498,0.009228718000660769,11953.358279472352,0.04661400303812753,13547.871733424627,0.04523700655387898
1995,295853.0977246614,0.038602457917389046,7665.87844599453,0.020213125680432664,12385.129474987487,0.016862338869153684,49961.673236968905,0.009168766170635482,11470.210677338971,0.04107264775269886,12741.629470405669,0.0378442996742671
1996,287960.6686789397,0.03554982206352185,8202.776516989341,0.01930440067405177,14275.400819973162,0.016527266700096424,44047.10468013128,0.00911247075685009,11765.241459683883,0.0401973971547634,15826.3406518084,0.03756558820802818
1997,293167.8257909711,0.03405562244188548,7936.88491739524,0.018673343949934345,15699.586768575462,0.01632650672845415,40634.8406079791,0.009204378981264362,11325.09943479171,0.037236556524771605,17577.353180646624,0.04039809296781883
1998,290996.05508837773,0.032015584989699614,7107.542890886589,0.01871121813106122,17031.780199691813,0.01655080690905512,37849.01264275619,0.009385947746529542,9231.574226341754,0.0329117783126571,7955.730400985875,0.027326490886568747
1999,298094.8913224043,0.030856767832474617,7770.25065324688,0.01889235740729121,20473.915094766675,0.018714659141257736,43122.89850492068,0.009452483374444196,9568.896051571313,0.031455030767349935,6469.035211353417,0.030732879223510798
2000,320086.3242111956,0.031122421469767913,7273.760312610518,0.018298419125100454,22237.140151214495,0.018357596845418902,45509.67382730942,0.009159856097425225,8800.640512409927,0.026547492768996237,9228.204143736757,0.033070298366754146
2001,331805.61057213676,0.031238098026670255,7043.145895398874,0.01870093878918717,26561.462998292423,0.019830862436579555,40757.9672341581,0.00931672842050063,7982.24852071006,0.02655979744462853,11683.151344772614,0.035463192290881844
2002,378463.1387538414,0.034476180992877845,7946.76620159082,0.018739646206139313,30284.127409997203,0.020593646529374638,39333.708169840815,0.009403575397818826,7531.453362255963,0.024380013631835576,13943.825063400162,0.037562773910801754
2003,440532.0695861917,0.03827161044736226,9926.649415335525,0.018462896887145454,33144.0004814458,0.019962889356584284,42486.177361061986,0.009400466096543552,7472.833982218607,0.023454591382170317,16973.73908510361,0.03670838089601037
